State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC",Cucumbar(Kheera),Cucumbar,Local,05/03/2026,2200,2500,2350
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC",Capsicum,Capsicum,Local,05/03/2026,4200,5000,4600
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC","Green Avare(W)",Other,Local,05/03/2026,4000,4400,4200
"Tamil Nadu",Coimbatore,"RSPuram(Uzhavar Sandhai ) APMC","Karbuja(Musk Melon)",Karbhuja,Local,05/03/2026,3000,3600,3300
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Grapes,Annabesahai,Local,05/03/2026,8000,9000,8500
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Cauliflower,Ranchi,Local,05/03/2026,3500,3800,3650
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Coriander(Leaves),"I Sort",Local,05/03/2026,5500,6000,5750
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Papaya,Papaya,Local,05/03/2026,3200,3600,3400
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Tomato,Deshi,Local,05/03/2026,1000,1300,1150
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Pumpkin,Pumpkin,Local,05/03/2026,1800,2000,1900
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Amaranthus,Amaranthus,Local,05/03/2026,3000,3500,3250
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC","Banana - Green","Banana - Green",Local,05/03/2026,3500,4000,3750
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Beans,"Beans (Whole)",Local,05/03/2026,6000,6400,6200
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Tapioca,Tapioca,Local,05/03/2026,2500,3000,2750
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC","Sweet Potato","Hosur Red",Local,05/03/2026,3000,3500,3250
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Cucumbar(Kheera),Cucumbar,Local,05/03/2026,2500,3000,2750
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Capsicum,Capsicum,Local,05/03/2026,5500,6000,5750
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC","Elephant Yam(Suran)/Amorphophallus","Elephant Yam (Suran)",Local,05/03/2026,3500,4000,3750
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Yam(Ratalu),"Yam (Ratalu)",Local,05/03/2026,5500,6000,5750
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Turnip,Turnip,Local,05/03/2026,4000,4500,4250
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC","Onion Green","Onion Green",Local,05/03/2026,3000,3300,3150
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai ) APMC",Mint(Pudina),Mint(Pudina),Local,05/03/2026,3500,4000,3750
Odisha,Cuttack,"Banki APMC","Bhindi(Ladies Finger)",Bhindi,Medium,05/03/2026,6000,7000,6500
Odisha,Cuttack,"Banki APMC",Tomato,Tomato,Local,05/03/2026,1500,2000,1800
Haryana,Mahendragarh-Narnaul,"Narnaul APMC",Coriander(Leaves),Coriander,Medium,05/03/2026,1000,1500,1200
Haryana,Mahendragarh-Narnaul,"Narnaul APMC",Cucumbar(Kheera),Cucumbar,Medium,05/03/2026,1000,2000,1500
Haryana,Mahendragarh-Narnaul,"Narnaul APMC","Green Chilli","Green Chilly",Medium,05/03/2026,5000,7000,6000
"Uttar Pradesh",Amroha,"Hasanpur APMC",Cauliflower,Local,FAQ,05/03/2026,1850,2020,2000
"Uttar Pradesh",Amroha,"Hasanpur APMC","Green Chilli","Green Chilly",FAQ,05/03/2026,1850,2250,2200
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai ) APMC","Cluster beans","Cluster Beans",Local,05/03/2026,3500,4000,3750
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai ) APMC",Cowpea(Veg),"Cowpea (Veg)",Local,05/03/2026,3000,4000,3500
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai ) APMC",Snakeguard,Snakeguard,Local,05/03/2026,2500,3000,2750
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai ) APMC",Beetroot,Beetroot,Local,05/03/2026,3000,4500,3750
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai ) APMC",Mashrooms,Mashrooms,Local,05/03/2026,17000,19000,18000
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai ) APMC",Potato,"Red Nanital",Local,05/03/2026,3600,4000,3800
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai ) APMC",Garlic,Garlic,Local,05/03/2026,16000,17000,16500
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai ) APMC","Green Peas","Green Peas",Local,05/03/2026,5500,6000,5750
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai ) APMC",Papaya,Papaya,Local,05/03/2026,3000,3500,3250
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai ) APMC","Water Melon","Water Melon",Local,05/03/2026,2000,2400,2200
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai ) APMC","Bhindi(Ladies Finger)",Bhindi,Local,05/03/2026,4500,5000,4750
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai ) APMC","Banana - Green","Banana - Green",Local,05/03/2026,5000,5500,5250
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai ) APMC",Cabbage,Cabbage,Local,05/03/2026,1600,2000,1800
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai ) APMC",Drumstick,Drumstick,Local,05/03/2026,6000,6500,6250
"Tamil Nadu",Coimbatore,"Mettupalayam(Uzhavar Sandhai ) APMC","Tender Coconut","Tender Coconut",Local,05/03/2026,4000,4500,4250
Chandigarh,Chandigarh,"Chandigarh(Grain/Fruit) APMC",Brinjal,Brinjal,FAQ,05/03/2026,1000,1500,1400
Chandigarh,Chandigarh,"Chandigarh(Grain/Fruit) APMC","Green Chilli","Green Chilly",FAQ,05/03/2026,4000,8000,7000
Chandigarh,Chandigarh,"Chandigarh(Grain/Fruit) APMC",Pumpkin,Pumpkin,FAQ,05/03/2026,1500,2000,1800
Chandigarh,Chandigarh,"Chandigarh(Grain/Fruit) APMC",Cucumbar(Kheera),Cucumbar,FAQ,05/03/2026,1000,2200,2000
"Tamil Nadu",Karur,"Karur(Uzhavar Sandhai ) APMC",Banana,"Red Banana",Local,05/03/2026,5000,6000,5500
"Tamil Nadu",Karur,"Karur(Uzhavar Sandhai ) APMC",Potato,Other,Local,05/03/2026,4500,5000,4750
"Tamil Nadu",Karur,"Karur(Uzhavar Sandhai ) APMC",Cauliflower,Ranchi,Local,05/03/2026,3500,4000,3750
"Tamil Nadu",Karur,"Karur(Uzhavar Sandhai ) APMC","Water Melon","Water Melon",Local,05/03/2026,1500,2000,1750
"Tamil Nadu",Karur,"Karur(Uzhavar Sandhai ) APMC",Tomato,Deshi,Local,05/03/2026,1200,1500,1350
"Tamil Nadu",Karur,"Karur(Uzhavar Sandhai ) APMC",Snakeguard,Snakeguard,Local,05/03/2026,2500,3000,2750
"Tamil Nadu",Karur,"Karur(Uzhavar Sandhai ) APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,05/03/2026,3500,4000,3750
"Tamil Nadu",Karur,"Karur(Uzhavar Sandhai ) APMC",Guava,"Guava Allahabad",Local,05/03/2026,5500,6000,5750
"Tamil Nadu",Karur,"Karur(Uzhavar Sandhai ) APMC",Yam(Ratalu),"Yam (Ratalu)",Local,05/03/2026,4000,5000,4500
"Tamil Nadu",Karur,"Karur(Uzhavar Sandhai ) APMC",Lemon,Lemon,Local,05/03/2026,12500,13000,12750
Tripura,"West District",Kamalghat,Cauliflower,Cauliflower,Local,05/03/2026,3100,3100,3100
"Tamil Nadu",Coimbatore,"Kurichi(Uzhavar Sandhai ) APMC",Onion,Bellary,Local,05/03/2026,2000,2200,2100
"Tamil Nadu",Coimbatore,"Kurichi(Uzhavar Sandhai ) APMC","Green Chilli","Green Chilly",Local,05/03/2026,4000,4500,4250
"Tamil Nadu",Coimbatore,"Kurichi(Uzhavar Sandhai ) APMC",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,05/03/2026,4500,5000,4750
Punjab,Mohali,"Kharar APMC","Bottle gourd","Bottle Gourd",Local,05/03/2026,2000,3000,2500
Punjab,Mohali,"Kharar APMC",Onion,Other,Non-FAQ,05/03/2026,1400,2000,1800
Punjab,Mohali,"Kharar APMC","Green Chilli","Green Chilly",Local,05/03/2026,5000,9000,8000
Punjab,Mohali,"Kharar APMC",Capsicum,Capsicum,Local,05/03/2026,4000,4500,4200
Punjab,Mohali,"Kharar APMC",Grapes,Other,Medium,05/03/2026,7000,8000,7500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Banana,Banana-Organic,"Grade Range-1",05/03/2026,3100,3500,3300
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Apple,Apple,"Grade B",05/03/2026,13300,13700,13500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC","Amla(Nelli Kai)",Amla,"Grade A",05/03/2026,5000,5400,5200
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC","Water Melon","Water Melon","Grade B",05/03/2026,2300,2700,2500
